hour_of_day,day_of_week,month,time_since_last_tx,tx_velocity,tx_amount,account_age_days,lifetime_spent,num_failed_tx,credit_score,network_centrality,shared_devices,shared_ips,desc_length,special_chars,num_urls,sentiment,isolation_score,lof_score,ae_recon_error,fraud_prob_hidden,user_id,device_type,browser,ip_country,vpn_detected,category_l1,category_l2,category_l3,language,is_fraud
17.0,2.0,5.0,12.524687621880354,2.0,105.5806268363149,125.9079324283118,23.988149820524168,0.0,454.5052322416242,0.3246011718619089,2.0,2.0,54.0,3.0,0.0,-0.6144548739992344,0.14032168794156138,0.09802422978330104,1.302637901956561,0.8720154611359627,1361,mobile,chrome,40,0,6,48,189,16,1
17.0,2.0,6.0,35.688835421402956,2.0,883.6432218942331,121.81948594763246,213.9386928419891,1.0,702.9696310859156,0.43345548974740244,0.0,1.0,43.0,4.0,1.0,0.6652174800595936,0.15068706870163648,0.4695684348264186,1.370092786685116,0.04246323378601252,462,mobile,chrome,8,0,9,26,189,17,0
16.0,5.0,10.0,0.9139595682663186,6.0,2.2934886277873416,130.65825737063327,278.252111132014,3.0,442.1011617242048,0.43453922988209354,0.0,3.0,56.0,4.0,0.0,0.31691465796562945,0.36000206252647343,0.2868914366919503,1.9172097069572767,0.0,494,mobile,safari,30,0,0,33,163,7,0
22.0,5.0,8.0,6.117373021347488,1.0,5.651249229709883,68.1447079186852,5212.387041246785,2.0,,0.1429802877655442,3.0,1.0,53.0,1.0,0.0,-0.7192845881301526,0.34662074415767163,0.15412301202330295,0.28842731998930926,0.42885264131312,470,mobile,safari,19,0,4,36,172,2,0
22.0,2.0,6.0,35.148541433042894,2.0,30.612696729457983,323.83347973898594,1.8380815889938362,0.0,696.1968394189832,0.19900344095783076,0.0,3.0,52.0,4.0,0.0,-0.5202714884047501,0.15386632584049095,0.10902122091297878,4.320674423056218,0.36329368821572144,1530,tablet,other,30,0,0,45,74,16,0
7.0,2.0,10.0,8.989057327612523,3.0,111.26727169295702,429.323349194649,1049.0344148536437,1.0,358.1683731588175,0.3030432185930996,1.0,1.0,51.0,6.0,0.0,0.7364351668071123,0.2938704117811452,0.3244371113988144,4.127006290391835,0.0,1961,tablet,firefox,15,0,8,8,159,12,0
17.0,1.0,1.0,68.79844165446517,4.0,105.56179049005559,53.048996748926754,384.4263859952477,1.0,675.7458775216764,0.22815201373238664,1.0,3.0,41.0,6.0,1.0,0.1624192647296283,0.3181745652073416,0.3519158824327322,3.840489232923386,0.0,919,desktop,safari,40,0,9,28,42,2,0
20.0,4.0,7.0,27.861074235136535,1.0,1165.5063360254671,129.1656927991356,3.682984961750258,1.0,616.2232989704787,0.14222539537458406,0.0,0.0,51.0,2.0,0.0,-0.3142653032507463,0.11101715847586077,0.3410744056344191,1.9870315837171015,0.12516767091537406,864,desktop,other,47,0,6,25,172,5,0
7.0,0.0,5.0,31.288974366925785,3.0,23.480219867180075,139.22182252390866,806.2049222392556,2.0,,0.4152442700865272,0.0,2.0,60.0,2.0,0.0,-0.0275509739792843,0.3480715230890242,0.14814818031398524,2.066923649650237,0.22626559814089525,1477,mobile,other,1,0,4,39,67,7,0
18.0,4.0,10.0,36.297770505008316,2.0,5.267781982891887,64.74988010202493,8.090097907841368,1.0,661.7288790033547,0.4475726408006131,2.0,0.0,48.0,2.0,0.0,-0.0462888898339866,0.23940725157762588,0.17668107036239378,1.4138924627506095,0.041838281740375176,1548,desktop,other,49,0,9,31,153,8,0
